#Number of mismatches allowed.  1 per 20 bp of read length (i.e. read_length/20 then round up) 
#21-40 = 2 mismatches
#41-60 = 3 mismatches
#61-80-mers = 4 mismatches
#81-100 = 5 mismatches
#101-120 = 6 mismatches
#121-140 = 7 mismatches
#141-160 = 8 mismatches
#161-180 = 9 mismatches
#181-200 = 10 mismatches

#ReadLength is the length of each read fo a read pair
#AllowedMismatches is the number of mismatches allowed (1 per 20 bp of read length, rounded up)
#TwoThirdsLength is 2/3 the length of the read (rounded)
#MinBitScore is the bit score that allows a perfect hit of 2/3 ReadLength or greater
#UpperBitScore is the bit score that allows a hit of ReadLength to have AllowedMismatches mismatches
#PerfectBitScore is the bit score that allows only a perfect hit of ReadLength (no mismatches, alignment length = read length)

#ReadLength AllowedMismatches TwoThirdsLength MinBitScore UpperBitScore PerfectBitScore
32 2 21 42.1 48.1 63.9
33 2 22 44.1 50.1 65.9 
34 2 23 46.1 52.0 67.9
35 2 23 46.1 54.0 69.9
36 2 24 48.1 56.0 71.9
37 2 25 50.1 58.0 73.8
38 2 25 50.1 60.0 75.8
39 2 26 52.0 61.9 77.8
40 2 27 54.0 63.9 79.8
41 3 27 54.0 58.0 81.8
42 3 28 56.0 60.0 83.8
43 3 29 58.0 61.9 85.7
44 3 29 58.0 63.9 87.7
45 3 30 60.0 65.9 89.7
46 3 31 61.9 67.9 91.7
47 3 31 61.9 69.9 93.7
48 3 32 63.9 71.9 95.6
49 3 33 65.9 73.8 97.6
50 3 34 67.9 75.8 99.6
51 3 34 67.9 77.8 101.0
52 3 35 69.9 79.8 103.0
53 3 36 71.9 81.8 105.0
54 3 36 71.9 83.8 107.0
55 3 37 73.8 85.7 109.0
56 3 38 75.8 87.7 111.0
57 3 38 75.8 89.7 113.0
58 3 39 77.8 91.7 115.0
59 3 40 79.8 93.7 117.0
60 3 40 79.8 95.6 119.0
61 4 41 81.8 89.7 121.0
62 4 42 83.8 91.7 123.0
63 4 42 83.8 93.7 125.0
64 4 43 85.7 95.6 127.0
65 4 44 87.7 97.6 129.0
66 4 44 87.7 99.6 131.0
67 4 45 89.7 101.0 133.0
68 4 46 91.7 103.0 135.0
69 4 46 91.7 105.0 137.0
70 4 47 93.7 107.0 139.0
71 4 48 95.6 109.0 141.0
72 4 48 95.6 111.0 143.0
73 4 49 97.6 113.0 145.0
74 4 50 99.6 115.0 147.0
75 4 50 99.6 117.0 149.0
76 4 51 101.0 119.0 151.0
77 4 52 103.0 121.0 153.0
78 4 52 103.0 123.0 155.0
79 4 53 105.0 125.0 157.0
80 4 54 107.0 127.0 159.0
81 5 54 107.0 121.0 161.0
82 5 55 109.0 123.0 163.0
83 5 56 111.0 125.0 165.0
84 5 56 111.0 127.0 167.0
85 5 57 113.0 129.0 168.0
86 5 58 115.0 131.0 170.0
87 5 58 115.0 133.0 172.0
88 5 59 117.0 135.0 174.0
89 5 60 119.0 137.0 176.0
90 5 60 119.0 139.0 178.0
91 5 61 121.0 141.0 180.0
92 5 62 123.0 143.0 182.0
93 5 63 125.0 145.0 184.0
94 5 63 125.0 147.0 186.0
95 5 64 127.0 149.0 188.0
96 5 64 127.0 151.0 190.0
97 5 65 129.0 153.0 192.0
98 5 66 131.0 155.0 194.0
99 5 66 131.0 157.0 196.0
100 5 67 133.0 159.0 198.0
101 6 67 133.0 161.0 200.0
