Gene	SA017	SA018	SA019	SA020	SA028	SA029	SA030	SA031	SA040	SA051	SA052	SA053	SA054	SA055	SA056	SA063	SA064	SA065	SA066	SA067	SA068	SA069	SA070	SA071	SA072	SA073	SA074	SA075	SA076	SA077	SA078	SA080	SA081	SA082	SA083	SA084	SA085	SA087	SA088	SA089	SA090	SA092	SA093	SA094	SA095	SA096	SA097	SA098	SA099	SA100	SA101	SA102	SA103	SA104	SA105	SA106	SA203
GPR160	14.3227202792755	14.2960144358200	13.7702505632964	13.9585871364440	13.7233311752141	12.3565975848317	14.4208318065962	11.7479464137582	7.24830776634956	13.2031825991311	11.6350390243392	11.5161976816858	13.3629019498194	12.2386531534515	13.9039759179740	11.5278867558612	13.471078283007	12.5587724566046	14.8050830877815	14.8815012120696	14.6930212671101	16.4926512106891	16.0217581938657	15.7487245443909	13.7971618648526	12.1438815807230	17.5789964275625	16.0547872613929	13.5874312819283	15.7823554133283	12.0339992268228	16.1436459820623	16.7591194065117	16.6431017333627	13.1141678548044	11.6596225763256	14.5995923452901	16.2613453619069	15.6771602684587	12.8181241384076	14.3484257171814	14.3402668302364	14.3515698018818	13.3762566814732	10.8626157446707	16.0310598210495	14.1103434108835	10.3714180280810	15.165227910218	13.5195869560200	14.2520326865899	0	15.0486169456164	11.4953843860853	14.6855988577849	13.1263566509157	8.9681342140633
ESR1	13.7276602270660	11.1433917430649	0	0	10.9040119572454	12.0216022843104	10.5604977359427	11.3170702315457	14.8314887887964	8.49422048486097	8.01720818895444	10.2826119853688	9.14226640451929	11.2978002047127	10.0526146444191	10.5707076616489	0	9.4277133910094	10.3847146957638	11.7223065668955	11.8715638013338	12.1173337525144	10.9128142574170	9.1718318644609	10.7377779679156	8.83122130669603	11.625186349785	11.8338492688828	12.2452108877252	8.99522525866198	9.35167222696414	13.2695892907345	6.33740666528165	9.94435568393468	11.5646920227228	12.4981338169743	10.5517148328477	18.2579251035554	20.0873685971274	8.28820500679501	13.3925364607367	11.6596225763256	6.05614608766064	11.6321934359682	10.2077009369054	14.3452492562409	9.76837870089868	10.6212086496304	12.0258292640565	14.1090829261728	14.9153094665075	0	15.0389278791702	11.6434105631470	11.2765594129050	12.1937678898221	7.15899737151141
BAG1	15.7587489808220	17.8048589858557	16.2961761551361	16.5496094155187	16.8640961273453	16.2029680677679	15.7506043299846	16.1520487853357	9.39254375178485	15.4499437352337	16.9639979717669	16.2535120837633	15.7093259148570	15.7692081658817	15.5087667870913	15.6657979241226	0	15.5530416058612	15.1583376529664	16.5415541157090	15.3480603231459	15.9686671325945	16.0688156161231	16.7800589184945	16.1249181565268	16.4551944933574	15.4178334184036	16.2802933636559	16.4516154056468	16.9623197388235	18.1260348957598	16.4155852556732	16.931547195732	17.4448139953250	15.4405296815583	16.4955584136185	0	17.5305535717489	17.2614654956060	14.8780948201265	15.9602944600207	16.3633196951160	15.3033685855805	15.0310850574425	15.4914502935985	16.3539047321239	15.5530416058612	15.6683658152228	15.3909897403495	16.1278229290446	16.1035300318962	0	16.5764726170947	16.675037920069	15.3360768753752	16.0022366103339	15.3831526019980
BCL2	11.2910201429921	12.4739767479330	11.9378051726760	11.1382595194574	11.4199232238969	12.4851442209448	11.6830654561098	12.5185292296685	0.487989482390643	11.5413872069146	13.1343918494774	11.8510157072303	9.6360018125495	11.7690354543149	10.6710438724467	14.6156177196348	14.0095487158489	11.6951384521386	10.2006521695578	11.8186865784644	11.7504601914836	11.6365739477273	10.3405028727735	15.7273020083623	11.3654873216892	12.4391327539609	11.0696565963292	10.8197859190942	11.4801096548465	9.02213282693603	9.94963197587811	11.7087031813592	11.1042448532229	9.24083981033682	11.9948621574109	13.2230980438680	12.6391759164536	13.8751568028926	15.9801511791933	14.8776812631453	11.9330827411617	11.7579469507984	14.8815012120696	11.4519718691628	11.7798569539688	11.1497546426932	11.7373284621432	15.5513808812518	10.3803079757654	12.6398513209204	11.5529261519632	15.3721437985922	11.3491685904531	12.3886408030882	10.6454207310064	11.0137059612265	11.8571951832343
CCNE1	11.7156122577549	16.0644134595773	15.9443633719654	16.2068189914777	15.0960411784854	13.4158959549085	13.1148461954838	14.8641273940089	12.147224379113	15.1625858895236	12.6774519271481	15.2093918329927	14.5150043487727	12.6267018467874	14.0164726645057	14.3897466316323	14.7818901057443	15.2653655089188	13.2964195370354	14.0358402500418	13.4456495904086	16.4736235008010	12.2508008385641	14.2547322968325	14.5778288966698	15.0350264318974	14.0741959184148	15.2998096486735	15.5045642905637	11.5926776456262	16.9008537361386	12.5043018334020	15.3245882624647	13.5316565850196	14.0502020423893	16.1003192864775	14.6165002714218	12.7107597453862	11.0640699380101	15.8261165115495	13.9347937016627	13.5859087501502	13.2838140380964	12.6023981475802	15.3086833313316	11.6508599850551	14.6254996718173	13.2526683495667	13.7357758542210	13.0970775601011	14.9698762461547	16.7018281554652	12.1698172785711	13.1893805054198	15.249737518317	15.3380721373436	14.7643799190931
CDC6	14.8197910715992	16.4500153843645	18.1559136927803	17.9516232596508	16.2522442954410	13.6992671462077	13.6873239547812	14.465442084158	15.9082540361994	15.8326345450045	14.0996731551183	14.7007238080634	14.8546283720325	14.3410099490754	15.8396931581051	15.8374807414716	15.5864458685243	15.6973273534677	15.2039896859500	16.4028823081394	14.8025612019075	15.7944148901774	13.2648124797066	16.1607078017362	15.1043672080406	16.0756376399268	15.6115144641009	16.0613929225134	15.1950006932262	16.6845796880291	15.7450133550680	15.0229218140017	15.9204674366438	18.6013808298812	15.5564718064289	16.1183773490806	16.1422602704631	15.4436593427826	14.0538887179996	16.0570969704714	15.9563759645770	14.5699990785044	14.9143960700304	13.846150133767	14.9631030683176	13.4847977154246	15.0952580693279	13.8730091425281	14.0011656274210	12.0088410439533	16.1835053940632	16.9088252052891	14.7734146017222	12.7913152604185	15.6192444472146	15.5556463220010	15.5779276273481
BIRC5	13.8649444579157	15.5864458685243	16.7081654446279	16.9662286968206	15.9401002780025	12.4838325885996	13.5171475527774	15.1013012716637	1.57884951856588	15.5453836758525	14.9109514494928	14.3132121884053	14.220525838795	15.085236992242	13.8400137224628	14.9335114656868	15.6133801289480	14.8904824310715	13.7143109679767	14.1065374839409	12.891175664174	14.4006291019434	13.3337328099480	14.3893306501189	15.3061333547077	15.7491329165399	13.1000782755711	15.6755088342383	13.3611797821550	16.1350990947502	15.9032886992842	12.2631969761728	15.6252510496093	13.2151479007991	14.5084199183971	15.3197748377756	14.7631055229483	14.7522186163817	12.8623796202957	15.6927832884086	13.1338208542357	16.0153322826678	15.2044591232385	14.0611849301141	16.0660920251002	13.4147947681398	14.9002973963345	13.5508921830719	12.4966820252496	9.85722595210681	14.0387932110315	16.2703546839682	13.5265548719089	12.0946392427138	15.0549416039815	13.7737185427630	14.6478717808432
NUF2	13.2461593443815	16.0906280467942	15.3352931273263	15.7067200974318	16.499251643997	12.6803520711452	13.5973140672569	14.0285728218331	14.8365545161572	14.7643799190931	14.9742264409265	16.0381834226767	13.5709245115125	14.3655623617115	15.1043672080406	15.4979905838498	15.2139167034651	15.669488900893	12.3210128786826	14.3902345745420	14.8381134870148	16.3933137879259	12.4733464057375	14.2989439000739	16.0726096889026	16.2512388132045	14.0186626713411	15.9966722264741	14.7219187121971	15.6796243491788	16.7996281590459	13.4847977154246	16.5303147514109	13.6945695840095	16.0080405621941	16.5924631333173	16.2094696868498	14.6305390262279	12.3255917620477	15.4054527819218	14.9733860309117	12.6774519271481	14.9970908540513	13.3414520111379	14.6859561433834	11.3261240806246	16.4301164840894	13.4143705209923	11.9810212095981	10.8784593434988	14.7345481489315	0.160208016852786	13.9979874046063	11.5882645236056	15.5001870127007	16.2220615999658	15.1535774644825
MIA	10.5120925235343	12.6383519540675	0	0	10.9518295219586	16.3003570972185	7.37057450141736	17.3272061389715	5.16318953757732	18.4083604196338	17.7320997373127	15.6586110460301	17.965044411179	16.9504686221206	14.3804816739751	15.5504527582015	15.4993721160703	16.5335801602414	7.20445718068723	16.7429621871692	16.7372497066012	10.8375072914293	12.534753455738	15.4816077685196	13.337604126951	8.74262621051257	10.0715332493322	17.1843213353914	11.2254178292148	16.5172850855555	13.8825956037972	12.3007085554540	7.0614943707916	9.53823362520184	16.5938481811236	17.0413345638264	16.4072505429523	7.56501845149489	7.67258049073168	17.1977972601065	15.9092075174038	9.8621197284215	14.3452492562409	10.8879635532327	14.9517993271355	11.8932131377036	15.9690450454112	9.79609506927336	8.33189739224305	13.575161328716	8.78765532903846	17.1823686839321	7.70685189944735	7.24830776634956	14.4324929922123	14.7230705815924	14.0160385401098
NAT1	14.6837985379116	10.0021104505687	13.1411199666659	12.9846023727580	12.1277416939569	11.9321965548413	14.0110684129090	11.1587952180951	13.9334672569717	13.6168670498284	11.7066642910564	11.4594246691123	11.3193166572407	12.5891882450815	12.534753455738	11.2463753253504	0	12.2824991722135	14.6028947668697	12.7986382300946	13.8126588473688	13.0066922228051	15.1439648953599	11.7095044119472	12.7233243559157	12.4909167123264	13.6151543747600	12.2473996443900	13.1888967768933	12.1639303364872	11.7520477301236	14.8369091096586	13.8576431995183	12.3471934059153	13.5130753110594	10.5699146447862	12.2775347891404	16.0805408857629	13.5815931292261	11.1673856707901	14.2821363933916	12.8801703479762	9.20863033320875	12.4180002403947	10.7554124962215	13.6322828167449	10.6228387567822	12.1479365096611	12.5063291993916	13.3083731760674	12.1542217537547	0.209128997463422	13.1008328152718	13.6127870020330	11.2822759987797	12.8553088722045	10.1336884971565
